% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
27 +1.856468192e+02 +1.856468192e+02 +2.689768192e+02 +2.689768192e+02 +6.0308e-01 -1.1188e+00 +4.0013e+00 +2.9678e+00 -6.3921e-01 -7.0147e-01 -2.3994e+00 -4.3696e+00 -2.1598e-01 +2.5689e+00
304 +1.040668401e+02 +1.040668401e+02 +1.873968401e+02 +1.873968401e+02 -5.8488e-01 -2.7123e+00 +5.0000e+00 +1.9261e+00 -1.0118e+00 -5.9399e-02 -4.2390e+00 -1.2432e+00 -2.5252e+00 +2.7025e+00
851 +9.267247079e+01 +9.267247079e+01 +1.760024708e+02 +1.760024708e+02 -1.0155e+00 -3.0709e+00 +3.9446e+00 +3.7304e+00 -7.0957e-01 +7.1500e-01 -2.2794e+00 -1.8546e+00 -1.4297e+00 +2.6922e+00
2388 +5.186276128e+01 +5.186276128e+01 +1.351927613e+02 +1.351927613e+02 +5.4096e-01 -2.7776e+00 +2.9347e+00 +3.5316e+00 -2.4185e-01 +1.9743e+00 -7.4701e-01 -2.2156e+00 -2.0930e+00 +3.1768e+00
4078 +3.647817660e+01 +3.647817660e+01 +1.198081766e+02 +1.198081766e+02 +5.0246e-01 -2.7522e+00 +3.0861e+00 +3.4927e+00 -2.4889e-01 +1.9572e+00 -5.3398e-01 -2.1785e+00 -1.9750e+00 +3.1934e+00
% function evaluation | noise-free fitness - Fopt (2.085600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.501639469e+03 +4.501639469e+03 +4.710199469e+03 +4.710199469e+03 -4.1020e+00 -3.9254e+00 +2.5243e+00 +4.6508e-01 +3.8866e+00 +2.9307e+00 -2.7232e+00 -2.9781e+00 +4.6717e+00 -2.9120e+00
2 +2.257234957e+03 +2.257234957e+03 +2.465794957e+03 +2.465794957e+03 +4.4921e+00 +2.8996e+00 -8.0650e-01 +3.8688e-01 -3.0684e+00 +3.7839e+00 -3.9770e+00 -4.4997e+00 -3.2684e+00 -3.7293e-01
5 +1.421143847e+03 +1.421143847e+03 +1.629703847e+03 +1.629703847e+03 +2.1130e+00 -3.3728e+00 -4.8638e+00 -3.4265e+00 -2.2470e-02 +2.0696e-01 +4.3157e+00 -1.4480e+00 +2.6704e+00 -9.5250e-01
9 +5.367785300e+02 +5.367785300e+02 +7.453385300e+02 +7.453385300e+02 -1.0664e+00 -2.0905e+00 +2.7094e+00 +6.5210e-02 -3.2947e+00 +1.4556e-01 -1.0958e+00 +2.1893e+00 -4.5073e+00 -3.7155e+00
