% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2840 +2.070956673e+02 +2.070956673e+02 +1.942956673e+02 +1.942956673e+02 +2.3602e+00 -1.5107e+00 +3.2591e+00 -3.8933e+00 +4.9985e+00
3485 +1.583588511e+02 +1.583588511e+02 +1.455588511e+02 +1.455588511e+02 +2.5842e+00 -1.9801e+00 +3.2583e+00 -3.8741e+00 +4.6964e+00
3630 +8.676420577e+01 +8.676420577e+01 +7.396420577e+01 +7.396420577e+01 +2.5568e+00 -1.6211e+00 +3.2561e+00 -3.8791e+00 +4.9548e+00
4245 +5.181978657e+01 +5.181978657e+01 +3.901978657e+01 +3.901978657e+01 +2.8703e+00 -1.5695e+00 +3.2605e+00 -3.8225e+00 +4.9468e+00
4726 +3.486001004e+01 +3.486001004e+01 +2.206001004e+01 +2.206001004e+01 +2.8781e+00 -1.4494e+00 +3.2451e+00 -3.7572e+00 +4.9449e+00
% function evaluation | noise-free fitness - Fopt (-3.856900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.523326523e+05 +7.523326523e+05 +7.519469623e+05 +7.519469623e+05 -8.5250e-01 -1.0367e+00 +3.3150e+00 -1.0522e+00 +4.3264e+00
40 +5.327752492e+05 +5.327752492e+05 +5.323895592e+05 +5.323895592e+05 -6.6167e-01 +2.9412e+00 +4.1583e+00 -4.7082e+00 -2.6815e+00
51 +2.221848628e+05 +2.221848628e+05 +2.217991728e+05 +2.217991728e+05 +2.8945e+00 -1.5144e-01 -2.5634e+00 -3.7274e+00 +4.1370e+00
90 +1.449739200e+05 +1.449739200e+05 +1.445882300e+05 +1.445882300e+05 -3.3472e+00 +4.8935e-01 -4.2498e+00 -4.1701e+00 +4.0802e-01
115 +4.209301931e+04 +4.209301931e+04 +4.170732931e+04 +4.170732931e+04 -4.0375e+00 -4.6728e-01 -1.9759e-01 -2.6080e+00 +3.0523e+00
207 +2.518214888e+04 +2.518214888e+04 +2.479645888e+04 +2.479645888e+04 -1.1433e+00 -1.8042e+00 +2.5725e+00 -1.8112e+00 +4.8260e+00
261 +1.645430344e+04 +1.645430344e+04 +1.606861344e+04 +1.606861344e+04 -3.6702e+00 +9.5047e-01 +3.1163e+00 -3.1452e+00 +8.2028e-01
471 +3.074211458e+03 +3.074211458e+03 +2.688521458e+03 +2.688521458e+03 -4.0899e+00 -2.1490e+00 -1.2256e+00 -3.0325e+00 +2.3872e+00
601 +4.053320652e+02 +4.053320652e+02 +1.964206524e+01 +1.964206524e+01 -4.1744e+00 -2.1541e+00 -1.0410e+00 -2.9607e+00 +2.3616e+00
1963 +2.154619536e+02 +2.154619536e+02 -1.702280464e+02 -1.702280464e+02 -4.0709e+00 -2.8593e+00 -1.0939e+00 -2.7915e+00 +2.7903e+00
1964 +9.707425855e+01 +9.707425855e+01 -2.886157415e+02 -2.886157415e+02 -4.3303e+00 -4.2316e+00 -1.8308e+00 -2.6346e+00 +3.2236e+00
4010 +6.240374328e+01 +6.240374328e+01 -3.232862567e+02 -3.232862567e+02 -4.3099e+00 -4.2757e+00 -1.5139e+00 -2.5894e+00 +3.2175e+00
4142 +1.852858365e+01 +1.852858365e+01 -3.671614164e+02 -3.671614164e+02 -4.3529e+00 -4.4491e+00 -1.6441e+00 -2.5642e+00 +3.2786e+00
4423 +1.195728309e+01 +1.195728309e+01 -3.737327169e+02 -3.737327169e+02 -4.3501e+00 -4.4719e+00 -1.7059e+00 -2.5593e+00 +3.3238e+00
4504 +9.712182128e+00 +9.712182128e+00 -3.759778179e+02 -3.759778179e+02 -4.3481e+00 -4.4753e+00 -1.6971e+00 -2.5617e+00 +3.3151e+00
% function evaluation | noise-free fitness - Fopt (4.000000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.863195256e+04 +9.863195256e+04 +9.867195256e+04 +9.867195256e+04 +1.4720e+00 +1.8263e+00 -2.9233e+00 +2.9413e+00 +2.9423e+00
133 +4.469591361e+04 +4.469591361e+04 +4.473591361e+04 +4.473591361e+04 +1.2856e+00 +2.5000e+00 -3.8472e+00 +3.9849e+00 +2.1987e+00
247 +2.655050140e+04 +2.655050140e+04 +2.659050140e+04 +2.659050140e+04 -9.3005e-01 +4.9983e+00 +1.8919e+00 -1.1488e+00 +4.0637e+00
331 +1.965496609e+04 +1.965496609e+04 +1.969496609e+04 +1.969496609e+04 +3.3550e+00 -3.9655e+00 -3.0961e+00 +1.3183e-01 +1.9059e+00
670 +1.316152330e+04 +1.316152330e+04 +1.320152330e+04 +1.320152330e+04 +3.2307e+00 -2.9170e+00 +0.0000e+00 -6.3386e-01 +4.2672e+00
1082 +3.870652343e+03 +3.870652343e+03 +3.910652343e+03 +3.910652343e+03 +2.7819e+00 -1.0480e+00 -1.0952e+00 +1.7696e+00 +4.0880e+00
2483 +7.788179945e+02 +7.788179945e+02 +8.188179945e+02 +8.188179945e+02 +3.7458e+00 -1.8613e+00 -2.0897e-01 +1.8731e+00 +4.6317e+00
2986 +5.993166584e+02 +5.993166584e+02 +6.393166584e+02 +6.393166584e+02 +1.4378e+00 -1.8928e+00 -1.0060e+00 -1.6778e+00 +3.2860e+00
3927 +3.007512017e+02 +3.007512017e+02 +3.407512017e+02 +3.407512017e+02 +9.2539e-01 -9.2635e-01 -4.4453e-01 -1.8930e+00 +3.5902e+00
4127 +2.061365506e+02 +2.061365506e+02 +2.461365506e+02 +2.461365506e+02 +8.8380e-01 -9.2727e-01 -4.7487e-01 -1.9068e+00 +3.5867e+00
4444 +1.056353088e+02 +1.056353088e+02 +1.456353088e+02 +1.456353088e+02 +9.3206e-01 -8.7799e-01 -5.1465e-01 -1.7482e+00 +3.5687e+00
% function evaluation | noise-free fitness - Fopt (1.142600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.609569298e+06 +3.609569298e+06 +3.609683558e+06 +3.609683558e+06 -2.7243e+00 +3.2518e+00 +5.7294e-01 +2.7249e+00 -4.6643e+00
3 +6.896429536e+05 +6.896429536e+05 +6.897572136e+05 +6.897572136e+05 +6.2356e-02 +1.0490e+00 +1.9457e+00 +2.2422e+00 +5.3916e-01
9 +4.350845375e+04 +4.350845375e+04 +4.362271375e+04 +4.362271375e+04 +2.5910e+00 -2.9100e+00 -1.9807e+00 +1.2656e-01 +9.5690e-01
340 +2.957800290e+04 +2.957800290e+04 +2.969226290e+04 +2.969226290e+04 +1.2307e-01 -1.0621e+00 -6.6193e-01 +9.5681e-02 +6.4800e-01
381 +5.756902663e+03 +5.756902663e+03 +5.871162663e+03 +5.871162663e+03 +2.6315e+00 -2.4512e+00 -5.0000e+00 +4.1021e-01 -4.0150e-01
1119 +3.447031987e+03 +3.447031987e+03 +3.561291987e+03 +3.561291987e+03 +3.4125e+00 -3.2799e+00 -2.9631e+00 -1.3653e-01 +3.0020e-01
