% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.574740297e+07 +2.574740297e+07 +2.574731508e+07 +2.574731508e+07 -1.9125e+00 -1.4683e+00 +2.7620e+00 -3.1142e-01 -2.8005e+00 -2.8467e+00 -4.9891e+00 +2.3976e+00 -1.2462e+00 -3.7959e+00 -1.5129e+00 +2.8748e+00 -1.4156e+00 -3.7285e-01 -1.6491e-01 +4.1696e+00 -1.8216e+00 +2.0535e+00 -1.6288e+00 -1.8338e+00
2 +1.073646433e+07 +1.073646433e+07 +1.073637644e+07 +1.073637644e+07 +3.0423e+00 +2.3548e+00 -4.9764e+00 -6.9872e-02 +2.6174e+00 -4.6451e+00 -2.5589e+00 -7.8583e-01 +8.1493e-01 +3.4319e+00 +1.0790e+00 -4.2074e+00 +1.3137e+00 -6.1568e-01 +4.6189e+00 -3.7465e+00 -9.7042e-01 +1.8437e+00 -3.9885e+00 +7.5887e-01
5 +5.727443314e+06 +5.727443314e+06 +5.727355424e+06 +5.727355424e+06 +3.2254e+00 +2.6144e+00 +2.7169e+00 -4.6178e+00 +7.6403e-01 -1.4082e+00 -3.4580e-01 +1.4484e+00 +4.2262e+00 -4.3238e+00 -4.0314e-01 -1.1903e+00 -4.0443e+00 -3.1054e+00 +9.6169e-02 -3.4150e+00 +2.9136e-01 +2.2947e+00 +1.9661e+00 +2.2325e+00
15 +3.054119141e+06 +3.054119141e+06 +3.054031251e+06 +3.054031251e+06 +3.2330e+00 -9.5724e-01 -1.6643e+00 -1.5082e+00 -1.7908e+00 -2.0742e+00 -4.1418e+00 -2.2840e+00 -1.5097e+00 +2.8215e+00 -5.0455e-01 -3.3776e+00 -2.1049e+00 +4.7356e+00 -2.8068e+00 +4.9787e-01 -2.5581e+00 +4.4313e+00 -1.1276e+00 +1.8508e+00
155 +1.741108701e+06 +1.741108701e+06 +1.741020811e+06 +1.741020811e+06 -4.2542e+00 -2.0685e-01 -3.2196e+00 -4.4099e+00 -7.2377e-01 +4.7610e+00 +1.2257e+00 +2.2812e+00 +3.8621e+00 -1.5511e+00 -2.3463e+00 -1.3357e+00 -3.8194e+00 +9.3381e-01 +4.4090e+00 +8.7940e-01 -1.2295e+00 +2.3333e+00 -1.3404e+00 +3.1959e+00
370 +6.306120539e+05 +6.306120539e+05 +6.305241639e+05 +6.305241639e+05 -1.0396e+00 -5.0000e+00 +5.3020e-01 -5.0000e+00 -1.1740e+00 +8.1453e-01 +4.8522e+00 -8.9250e-01 -1.0331e+00 -1.2475e+00 -1.1078e+00 -2.0715e+00 +4.7087e+00 +2.2263e+00 -3.6344e-01 -4.4131e+00 +5.2241e-02 +2.7571e+00 -1.2292e+00 +2.9777e+00
1026 +3.237813949e+05 +3.237813949e+05 +3.236935049e+05 +3.236935049e+05 +5.0000e+00 -1.7510e+00 +5.0000e+00 -5.0000e+00 +1.5047e+00 -5.0000e+00 -3.8798e+00 -2.8452e+00 -4.4781e-01 +5.0000e+00 +2.2942e+00 -1.2428e+00 +3.5247e+00 +2.2056e+00 -2.3627e+00 -2.5351e+00 -3.1796e-01 +2.7143e+00 -1.0251e+00 +2.7433e+00
1482 +2.179782267e+05 +2.179782267e+05 +2.178903367e+05 +2.178903367e+05 +3.9602e+00 -3.8026e+00 +0.0000e+00 -4.4241e+00 +5.6225e-01 -5.0000e+00 -5.0000e+00 -3.2662e+00 +4.7619e+00 +4.7255e+00 +2.6716e+00 +1.2401e+00 +4.7259e-01 +1.8983e+00 -7.3843e-01 -1.0082e+00 -1.0494e+00 +3.8397e+00 -1.0123e+00 +2.9990e+00
1601 +1.349505455e+05 +1.349505455e+05 +1.348626555e+05 +1.348626555e+05 +3.5654e+00 -2.7589e+00 -1.6512e+00 -3.3036e+00 +2.1737e+00 -5.0000e+00 -5.0000e+00 -3.7397e+00 +4.6584e+00 +4.4757e+00 +1.8294e+00 -5.4078e-01 +2.3971e+00 +1.1270e+00 -7.8437e-01 -1.2644e+00 -4.9596e-01 +3.8373e+00 -1.0212e+00 +3.1979e+00
1846 +5.034967113e+04 +5.034967113e+04 +5.026178113e+04 +5.026178113e+04 +4.6151e+00 -3.3720e+00 -1.4933e+00 -3.0500e+00 +2.2906e+00 -5.0000e+00 -5.0000e+00 -4.4748e+00 +1.9103e+00 +4.3845e+00 +2.9561e+00 -1.3430e+00 +2.5333e+00 +1.4862e+00 -8.9321e-01 -1.7229e+00 -3.8055e-01 +3.2042e+00 -9.6178e-01 +3.1674e+00
2602 +3.710099204e+04 +3.710099204e+04 +3.701310204e+04 +3.701310204e+04 +5.0000e+00 -3.5776e+00 -1.3074e+00 -3.2287e+00 +2.1462e+00 -3.3275e+00 +2.2602e+00 -3.5559e+00 +1.8948e+00 +4.2237e+00 +3.0005e+00 -1.8448e+00 +2.6947e+00 +1.0094e+00 -1.4193e+00 -1.7380e+00 -3.6217e-01 +3.1856e+00 -9.1549e-01 +3.0130e+00
3013 +1.683766000e+04 +1.683766000e+04 +1.674977000e+04 +1.674977000e+04 +4.9983e+00 -3.8022e+00 -2.6942e+00 -2.8313e+00 +2.6416e+00 -3.6431e+00 -2.1921e+00 -3.1218e+00 +1.6829e+00 +4.1684e+00 +2.8417e+00 -1.8911e+00 +2.7171e+00 +8.6381e-01 -9.0077e-01 -1.5396e+00 -6.1560e-01 +3.3202e+00 -9.8653e-01 +3.0188e+00
3413 +1.211991135e+04 +1.211991135e+04 +1.203202135e+04 +1.203202135e+04 +4.9960e+00 -3.8610e+00 -2.7999e+00 -2.7322e+00 +2.7410e+00 -2.9818e+00 -2.2064e+00 -2.6077e+00 +1.6849e+00 +4.1560e+00 +2.8474e+00 -2.0261e+00 +2.7562e+00 +9.3339e-01 -8.4050e-01 -1.5212e+00 -4.4813e-01 +3.3853e+00 -1.0125e+00 +3.0168e+00
3704 +9.691767134e+03 +9.691767134e+03 +9.603877134e+03 +9.603877134e+03 +5.0000e+00 -3.8844e+00 -3.3367e+00 -2.5926e+00 +3.3212e+00 -1.8654e+00 -3.3783e+00 -2.2124e+00 -3.1823e-01 +4.0950e+00 +2.8527e+00 -2.3653e+00 +2.6613e+00 +9.2267e-01 -9.5919e-01 -1.5107e+00 -3.9526e-01 +3.2549e+00 -9.7995e-01 +3.0124e+00
4233 +5.963000693e+03 +5.963000693e+03 +5.875110693e+03 +5.875110693e+03 +5.0000e+00 -3.8701e+00 -3.2175e+00 -2.6260e+00 +2.6559e+00 -1.2851e+00 -2.7352e+00 -2.2960e+00 -7.9263e-01 +4.2284e+00 +3.1099e+00 -2.3082e+00 +2.5459e+00 +9.0054e-01 -7.6222e-01 -1.5624e+00 -4.6914e-01 +3.3234e+00 -9.8139e-01 +3.0080e+00
